snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	estimated-cost-savings-of-recommended-actions	sell-through	item-volume	volume-units	storage-type
2020-09-21	DS-0016	X001PSRDMP	B07B8NKBM2	YaeCCC DC 12V 10W Low Noise CPU Cooling Water Pump for Desktop Computer Cool System	New	16	0	16	0	0	0	0	USD	0	0.0	0	0.0	6	27	33	33	Low traffic	20.99	20.99	20.99	0.0	Lower price	20	20.99	0	0	0.0	2.1639344262295084	0.452880	cubic feet	Standard
2020-09-21	AB-0813	X0029CL10V	B07VSN4VGM	YaeCCC Mini Desk-top Centrifuge, Fixed Speed at 7000rpm, Bench top Laboratory Micro Centrifuge Machine	New	8	0	4	4	0	0	0	USD	0	0.0	0	0.0	0	9	33	47	Low traffic	78.99	78.99	78.99	0.0	Lower price	0	0.0	0	0	0.0	1.504	1.814816	cubic feet	Standard
2020-09-21	YI-0568	X002EW6LND	B082QY3PXL	YaeCCC Auto Voltage Transformer AC Variable Voltage Converter Transformer 110VAC Input, 0-130VAC Beige (500W)	New	111	0	111	0	0	0	0	USD	0	0.0	0	0.0	1	24	28	28	Low traffic	48.99	48.99	48.99	0.0	Lower price	32	49.99	0	0	0.0	0.6666666666666666	30.915609	cubic feet	Standard
2020-09-21	DS-0442	X002GXGQVH	B084YZQ62H	YaeCCC 201Pcs RJ45 CAT5/5e CAT6 Connector and Transparent & Mixed Color Strain Relief Boots Cable Connector Plug Cover with Wire Cutter for IP Camera, CCTV and Security Installation	New	34	0	0	34	0	0	0	USD	0	0.0	0	0.0	1	2	2	4	Low traffic	9.99	8.78	8.78	0.0	Advertise listing	0	8.209876789896246	364	0	507.41404131235197	0.10810810810810811	2.511818	cubic feet	Standard
2020-09-21	JK-0380	X0024IT3CX	B07QWT6PR2	YaeCCC LED Liquid CPU Cooler Water Cooling System Radiator 120mm with Fan for Inter AMD	New	112	0	112	0	0	0	0	USD	0	0.0	0	0.0	0	1	2	89	Low traffic	41.99	41.99	41.99	0.0	Lower price	0	0.0	0	0	0.0	1.7281553398058251	25.519872	cubic feet	Standard
2020-09-21	AB-0986	X002KNJQ51	B08CB32K44	YaeCCC Universal Toilet Seats Screws and Bolts Metal, Toilet Seat Hinges Bolt Screws, Toilet Seat Fixings Expanding Rubber Top Nuts Screws Mount Seat Hardware, Toilet Seat Replacement Parts Kit	New	44	0	44	0	0	0	0	USD	0	0.0	0	0.0	10	15	16	16	Low traffic	11.99	11.99	11.99	0.0	Lower price	0	0.0	0	0	0.0	0.4660194174757281	1.205204	cubic feet	Standard
2020-09-21	AB-0754	X0024EQUJV	B07QVBMWZL	982A 110V Glue Dispenser Machine Solder Paste Controller Glue Dropper Glue Liquid Adhesive Dispenser Semi-Automatic/Manual Operations	New	80	0	80	0	0	0	0	USD	0	0.0	0	0.0	10	46	59	59	Low traffic	50.99	50.99	50.99	0.0	Lower price	45	50.99	0	0	0.0	1.4047619047619047	23.119440	cubic feet	Standard
2020-09-21	NK-0140-03	X002J1E3BB	B088STR8DT	YaeCCC 3 Pack Tack Lifter 3 mm U Tip Nail Staple Rivet Tack Puller Staple Remover Screwdriver Tool	New	12	0	12	0	0	0	0	USD	0	0.0	0	0.0	8	40	47	47	Low traffic	9.85	9.85	9.85	0.0	Lower price	15	9.85	0	0	0.0	2.8484848484848486	0.517704	cubic feet	Standard
2020-09-21	JK-0244	X001VIYC23	B07GTG9JQJ	YaeCCC 3000VA Voltage Transformer Power Converter 110V/220V Converter AC-AC 3000VA	New	51	0	51	0	0	0	0	USD	0	0.0	0	0.0	16	98	111	111	Low traffic	72.99	72.99	72.99	0.0	Lower price	59	72.99	0	0	0.0	2.084507042253521	28.775475	cubic feet	Standard
2020-09-21	CR-0019	X002J1G0UX	B088SZ125G	YaeCCC Tile Leveling System Kit Include 1/8" 300 Pcs Tile Spacers Clips and 120 Pcs Reusable Wedges and 1 Pc Floor Tiles Pliers for Kitchen Living Room Shower Base Tile Leveling	New	40	0	40	0	0	0	0	USD	0	0.0	0	0.0	1	7	10	10	Low traffic	18.85	18.85	18.85	0.0	Lower price	41	18.85	0	0	0.0	0.45977011494252873	12.713280	cubic feet	Standard
2020-09-21	TEK-NY-8180	X001JK1GPT	B074WJXYRY	YaeCCC Aluminium Alloy Folding Rig Movie Kit Film Making System Shoulder Mount Support Rig Stabilizer Compatible for Canon Nikon Sony Fuji Olympus Digital SLR Cameras and Camcorders	New	19	0	19	0	0	0	0	USD	0	0.0	0	0.0	4	19	21	21	Low traffic	32.99	32.99	32.99	40.98	Lower price	1	32.99	0	0	0.0	1.4736842105263157	3.605725	cubic feet	Standard
2020-09-21	JK-0621	X002GXH46N	B084Z1LTMZ	YaeCCC Bumper Chrome Fog Lights W/Bulb+Harness+Switch Fit for 2009-2012 Toyota RAV4	New	20	0	0	20	0	0	0	USD	0	0.0	0	0.0	2	5	6	9	Low traffic	21.99	21.99	21.99	0.0	Advertise listing	1	18.82577373052479	364	0	695.555270537015	0.3564356435643564	7.122380	cubic feet	Standard
2020-09-21	LS-0072	X002JGK9RN	B089LQG4D5	YaeCCC 570 Pcs M3 M4 M5 M6 304 Stainless Steel Round Flat Head Self Tapping Screw Assortment Kit	New	34	0	34	0	0	0	0	USD	0	0.0	0	0.0	2	3	4	4	Low traffic	19.99	19.99	19.99	0.0	Lower price	35	19.99	0	0	0.0	0.16	1.755998	cubic feet	Standard
2020-09-21	DS-0053-40	X001SJP9M7	B07DBX3RLR	YaeCCC 18AWG 20 Pair DC Power Pigtail Male & Female Cable 2.1x5.5mm Connectors	New	51	0	51	0	0	0	0	USD	0	0.0	0	0.0	1	8	8	8	Low traffic	11.99	11.99	11.99	0.0	Advertise listing	0	11.057167977813442	364	0	434.57100629682697	0.2882882882882883	1.547442	cubic feet	Standard
